"","concat","count","sampleorigin","cluster","prop","condid","group","cellgroup"
"1","Healthy_1053BW|0",19,"Healthy_1053BW","Expanded",0.161016949152542,"HD_1","HD","Expanded_HD"
"2","Healthy_1053BW|10",2,"Healthy_1053BW","Expanded",0.0169491525423729,"HD_1","HD","Expanded_HD"
"3","Healthy_1053BW|13",1,"Healthy_1053BW","Expanded",0.00847457627118644,"HD_1","HD","Expanded_HD"
"4","Healthy_1053BW|5",3,"Healthy_1053BW","Expanded",0.0254237288135593,"HD_1","HD","Expanded_HD"
"5","Healthy_7541BW|0",156,"Healthy_7541BW","Expanded",0.404145077720207,"HD_10","HD","Expanded_HD"
"6","Healthy_7541BW|10",1,"Healthy_7541BW","Expanded",0.00259067357512953,"HD_10","HD","Expanded_HD"
"7","Healthy_7541BW|13",2,"Healthy_7541BW","Expanded",0.00518134715025907,"HD_10","HD","Expanded_HD"
"8","Healthy_7541BW|2",33,"Healthy_7541BW","Expanded",0.0854922279792746,"HD_10","HD","Expanded_HD"
"9","Healthy_7541BW|3",15,"Healthy_7541BW","Expanded",0.038860103626943,"HD_10","HD","Expanded_HD"
"10","Healthy_7541BW|5",68,"Healthy_7541BW","Expanded",0.176165803108808,"HD_10","HD","Expanded_HD"
"11","Healthy_7541BW|9",2,"Healthy_7541BW","Expanded",0.00518134715025907,"HD_10","HD","Expanded_HD"
"12","Healthy_BP0219101|0",15,"Healthy_BP0219101","Expanded",0.0986842105263158,"HD_11","HD","Expanded_HD"
"13","Healthy_BP0219101|10",1,"Healthy_BP0219101","Expanded",0.00657894736842105,"HD_11","HD","Expanded_HD"
"14","Healthy_BP0219101|2",3,"Healthy_BP0219101","Expanded",0.0197368421052632,"HD_11","HD","Expanded_HD"
"15","Healthy_BP0219101|3",25,"Healthy_BP0219101","Expanded",0.164473684210526,"HD_11","HD","Expanded_HD"
"16","Healthy_BP0219101|9",1,"Healthy_BP0219101","Expanded",0.00657894736842105,"HD_11","HD","Expanded_HD"
"17","Healthy_BP0319250|0",19,"Healthy_BP0319250","Expanded",0.0900473933649289,"HD_12","HD","Expanded_HD"
"18","Healthy_BP0319250|13",3,"Healthy_BP0319250","Expanded",0.014218009478673,"HD_12","HD","Expanded_HD"
"19","Healthy_BP0319250|2",40,"Healthy_BP0319250","Expanded",0.18957345971564,"HD_12","HD","Expanded_HD"
"20","Healthy_BP0319250|3",57,"Healthy_BP0319250","Expanded",0.270142180094787,"HD_12","HD","Expanded_HD"
"21","Healthy_BP0319250|5",8,"Healthy_BP0319250","Expanded",0.037914691943128,"HD_12","HD","Expanded_HD"
"22","Healthy_BP0319250|9",1,"Healthy_BP0319250","Expanded",0.004739336492891,"HD_12","HD","Expanded_HD"
"23","Healthy_BP05191345|0",35,"Healthy_BP05191345","Expanded",0.115131578947368,"HD_13","HD","Expanded_HD"
"24","Healthy_BP05191345|10",1,"Healthy_BP05191345","Expanded",0.00328947368421053,"HD_13","HD","Expanded_HD"
"25","Healthy_BP05191345|13",8,"Healthy_BP05191345","Expanded",0.0263157894736842,"HD_13","HD","Expanded_HD"
"26","Healthy_BP05191345|2",9,"Healthy_BP05191345","Expanded",0.0296052631578947,"HD_13","HD","Expanded_HD"
"27","Healthy_BP05191345|3",66,"Healthy_BP05191345","Expanded",0.217105263157895,"HD_13","HD","Expanded_HD"
"28","Healthy_BP05191345|5",2,"Healthy_BP05191345","Expanded",0.00657894736842105,"HD_13","HD","Expanded_HD"
"29","Healthy_BP05191345|9",2,"Healthy_BP05191345","Expanded",0.00657894736842105,"HD_13","HD","Expanded_HD"
"30","Healthy_BP08191115|0",8,"Healthy_BP08191115","Expanded",0.037914691943128,"HD_14","HD","Expanded_HD"
"31","Healthy_BP08191115|10",1,"Healthy_BP08191115","Expanded",0.004739336492891,"HD_14","HD","Expanded_HD"
"32","Healthy_BP08191115|3",8,"Healthy_BP08191115","Expanded",0.037914691943128,"HD_14","HD","Expanded_HD"
"33","Healthy_BP08191115|5",1,"Healthy_BP08191115","Expanded",0.004739336492891,"HD_14","HD","Expanded_HD"
"34","Healthy_CL2|0",131,"Healthy_CL2","Expanded",0.281115879828326,"HD_15","HD","Expanded_HD"
"35","Healthy_CL2|10",8,"Healthy_CL2","Expanded",0.0171673819742489,"HD_15","HD","Expanded_HD"
"36","Healthy_CL2|13",8,"Healthy_CL2","Expanded",0.0171673819742489,"HD_15","HD","Expanded_HD"
"37","Healthy_CL2|2",15,"Healthy_CL2","Expanded",0.0321888412017167,"HD_15","HD","Expanded_HD"
"38","Healthy_CL2|3",9,"Healthy_CL2","Expanded",0.01931330472103,"HD_15","HD","Expanded_HD"
"39","Healthy_CL2|5",16,"Healthy_CL2","Expanded",0.0343347639484979,"HD_15","HD","Expanded_HD"
"40","Healthy_CL2|7",1,"Healthy_CL2","Expanded",0.00214592274678112,"HD_15","HD","Expanded_HD"
"41","Healthy_CL2|9",2,"Healthy_CL2","Expanded",0.00429184549356223,"HD_15","HD","Expanded_HD"
"42","Healthy_Mix_donor1|0",13,"Healthy_Mix_donor1","Expanded",0.0343007915567282,"HD_16","HD","Expanded_HD"
"43","Healthy_Mix_donor1|10",1,"Healthy_Mix_donor1","Expanded",0.00263852242744063,"HD_16","HD","Expanded_HD"
"44","Healthy_Mix_donor1|13",1,"Healthy_Mix_donor1","Expanded",0.00263852242744063,"HD_16","HD","Expanded_HD"
"45","Healthy_Mix_donor1|3",8,"Healthy_Mix_donor1","Expanded",0.0211081794195251,"HD_16","HD","Expanded_HD"
"46","Healthy_Mix_donor1|5",2,"Healthy_Mix_donor1","Expanded",0.00527704485488127,"HD_16","HD","Expanded_HD"
"47","Healthy_1193BW|0",167,"Healthy_1193BW","Expanded",0.137448559670782,"HD_2","HD","Expanded_HD"
"48","Healthy_1193BW|10",6,"Healthy_1193BW","Expanded",0.00493827160493827,"HD_2","HD","Expanded_HD"
"49","Healthy_1193BW|13",5,"Healthy_1193BW","Expanded",0.00411522633744856,"HD_2","HD","Expanded_HD"
"50","Healthy_1193BW|2",17,"Healthy_1193BW","Expanded",0.0139917695473251,"HD_2","HD","Expanded_HD"
"51","Healthy_1193BW|3",61,"Healthy_1193BW","Expanded",0.0502057613168724,"HD_2","HD","Expanded_HD"
"52","Healthy_1193BW|5",90,"Healthy_1193BW","Expanded",0.0740740740740741,"HD_2","HD","Expanded_HD"
"53","Healthy_1193BW|7",2,"Healthy_1193BW","Expanded",0.00164609053497942,"HD_2","HD","Expanded_HD"
"54","Healthy_1193BW|9",6,"Healthy_1193BW","Expanded",0.00493827160493827,"HD_2","HD","Expanded_HD"
"55","Healthy_2773BW|0",48,"Healthy_2773BW","Expanded",0.231884057971014,"HD_3","HD","Expanded_HD"
"56","Healthy_2773BW|10",2,"Healthy_2773BW","Expanded",0.00966183574879227,"HD_3","HD","Expanded_HD"
"57","Healthy_2773BW|13",1,"Healthy_2773BW","Expanded",0.00483091787439614,"HD_3","HD","Expanded_HD"
"58","Healthy_2773BW|2",15,"Healthy_2773BW","Expanded",0.072463768115942,"HD_3","HD","Expanded_HD"
"59","Healthy_2773BW|3",4,"Healthy_2773BW","Expanded",0.0193236714975845,"HD_3","HD","Expanded_HD"
"60","Healthy_2773BW|5",15,"Healthy_2773BW","Expanded",0.072463768115942,"HD_3","HD","Expanded_HD"
"61","Healthy_2773BW|9",1,"Healthy_2773BW","Expanded",0.00483091787439614,"HD_3","HD","Expanded_HD"
"62","Healthy_2982BW|0",87,"Healthy_2982BW","Expanded",0.166986564299424,"HD_4","HD","Expanded_HD"
"63","Healthy_2982BW|10",2,"Healthy_2982BW","Expanded",0.00383877159309021,"HD_4","HD","Expanded_HD"
"64","Healthy_2982BW|13",3,"Healthy_2982BW","Expanded",0.00575815738963532,"HD_4","HD","Expanded_HD"
"65","Healthy_2982BW|2",11,"Healthy_2982BW","Expanded",0.0211132437619962,"HD_4","HD","Expanded_HD"
"66","Healthy_2982BW|3",17,"Healthy_2982BW","Expanded",0.0326295585412668,"HD_4","HD","Expanded_HD"
"67","Healthy_2982BW|5",27,"Healthy_2982BW","Expanded",0.0518234165067179,"HD_4","HD","Expanded_HD"
"68","Healthy_2982BW|7",1,"Healthy_2982BW","Expanded",0.00191938579654511,"HD_4","HD","Expanded_HD"
"69","Healthy_2982BW|9",1,"Healthy_2982BW","Expanded",0.00191938579654511,"HD_4","HD","Expanded_HD"
"70","Healthy_3126BW|0",81,"Healthy_3126BW","Expanded",0.214854111405836,"HD_5","HD","Expanded_HD"
"71","Healthy_3126BW|10",2,"Healthy_3126BW","Expanded",0.00530503978779841,"HD_5","HD","Expanded_HD"
"72","Healthy_3126BW|2",104,"Healthy_3126BW","Expanded",0.275862068965517,"HD_5","HD","Expanded_HD"
"73","Healthy_3126BW|3",22,"Healthy_3126BW","Expanded",0.0583554376657825,"HD_5","HD","Expanded_HD"
"74","Healthy_3126BW|5",142,"Healthy_3126BW","Expanded",0.376657824933687,"HD_5","HD","Expanded_HD"
"75","Healthy_3126BW|9",7,"Healthy_3126BW","Expanded",0.0185676392572944,"HD_5","HD","Expanded_HD"
"76","Healthy_3283BW|0",16,"Healthy_3283BW","Expanded",0.145454545454545,"HD_6","HD","Expanded_HD"
"77","Healthy_3283BW|13",1,"Healthy_3283BW","Expanded",0.00909090909090909,"HD_6","HD","Expanded_HD"
"78","Healthy_3283BW|2",3,"Healthy_3283BW","Expanded",0.0272727272727273,"HD_6","HD","Expanded_HD"
"79","Healthy_3283BW|3",1,"Healthy_3283BW","Expanded",0.00909090909090909,"HD_6","HD","Expanded_HD"
"80","Healthy_3283BW|5",8,"Healthy_3283BW","Expanded",0.0727272727272727,"HD_6","HD","Expanded_HD"
"81","Healthy_3577BW|0",40,"Healthy_3577BW","Expanded",0.180995475113122,"HD_7","HD","Expanded_HD"
"82","Healthy_3577BW|10",1,"Healthy_3577BW","Expanded",0.00452488687782805,"HD_7","HD","Expanded_HD"
"83","Healthy_3577BW|2",25,"Healthy_3577BW","Expanded",0.113122171945701,"HD_7","HD","Expanded_HD"
"84","Healthy_3577BW|3",14,"Healthy_3577BW","Expanded",0.0633484162895928,"HD_7","HD","Expanded_HD"
"85","Healthy_3577BW|5",127,"Healthy_3577BW","Expanded",0.574660633484163,"HD_7","HD","Expanded_HD"
"86","Healthy_3577BW|9",1,"Healthy_3577BW","Expanded",0.00452488687782805,"HD_7","HD","Expanded_HD"
"87","Healthy_5046BW|0",108,"Healthy_5046BW","Expanded",0.206500956022945,"HD_8","HD","Expanded_HD"
"88","Healthy_5046BW|10",2,"Healthy_5046BW","Expanded",0.00382409177820268,"HD_8","HD","Expanded_HD"
"89","Healthy_5046BW|13",1,"Healthy_5046BW","Expanded",0.00191204588910134,"HD_8","HD","Expanded_HD"
"90","Healthy_5046BW|2",19,"Healthy_5046BW","Expanded",0.0363288718929254,"HD_8","HD","Expanded_HD"
"91","Healthy_5046BW|3",10,"Healthy_5046BW","Expanded",0.0191204588910134,"HD_8","HD","Expanded_HD"
"92","Healthy_5046BW|5",18,"Healthy_5046BW","Expanded",0.0344168260038241,"HD_8","HD","Expanded_HD"
"93","Healthy_5046BW|9",4,"Healthy_5046BW","Expanded",0.00764818355640535,"HD_8","HD","Expanded_HD"
"94","Healthy_6130BW|0",59,"Healthy_6130BW","Expanded",0.0790884718498659,"HD_9","HD","Expanded_HD"
"95","Healthy_6130BW|10",6,"Healthy_6130BW","Expanded",0.00804289544235925,"HD_9","HD","Expanded_HD"
"96","Healthy_6130BW|13",3,"Healthy_6130BW","Expanded",0.00402144772117962,"HD_9","HD","Expanded_HD"
"97","Healthy_6130BW|2",177,"Healthy_6130BW","Expanded",0.237265415549598,"HD_9","HD","Expanded_HD"
"98","Healthy_6130BW|3",22,"Healthy_6130BW","Expanded",0.0294906166219839,"HD_9","HD","Expanded_HD"
"99","Healthy_6130BW|5",135,"Healthy_6130BW","Expanded",0.180965147453083,"HD_9","HD","Expanded_HD"
"100","INCOV010-AC|0",43,"INCOV010-AC","Expanded",0.126843657817109,"Mild_1","Mild","Expanded_Mild"
"101","INCOV010-AC|10",10,"INCOV010-AC","Expanded",0.0294985250737463,"Mild_1","Mild","Expanded_Mild"
"102","INCOV010-AC|13",6,"INCOV010-AC","Expanded",0.0176991150442478,"Mild_1","Mild","Expanded_Mild"
"103","INCOV010-AC|2",14,"INCOV010-AC","Expanded",0.0412979351032448,"Mild_1","Mild","Expanded_Mild"
"104","INCOV010-AC|3",119,"INCOV010-AC","Expanded",0.351032448377581,"Mild_1","Mild","Expanded_Mild"
"105","INCOV010-AC|5",15,"INCOV010-AC","Expanded",0.0442477876106195,"Mild_1","Mild","Expanded_Mild"
"106","INCOV010-AC|7",1,"INCOV010-AC","Expanded",0.00294985250737463,"Mild_1","Mild","Expanded_Mild"
"107","INCOV010-AC|9",3,"INCOV010-AC","Expanded",0.00884955752212389,"Mild_1","Mild","Expanded_Mild"
"108","INCOV088-BL|0",20,"INCOV088-BL","Expanded",0.140845070422535,"Mild_10","Mild","Expanded_Mild"
"109","INCOV088-BL|10",5,"INCOV088-BL","Expanded",0.0352112676056338,"Mild_10","Mild","Expanded_Mild"
"110","INCOV088-BL|13",1,"INCOV088-BL","Expanded",0.00704225352112676,"Mild_10","Mild","Expanded_Mild"
"111","INCOV088-BL|3",4,"INCOV088-BL","Expanded",0.028169014084507,"Mild_10","Mild","Expanded_Mild"
